,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagsCount,likeRatio,commentRatio,titleLength
10,xHuMQkJS1uw,ClimateScience - Solve Climate Change,The Ozone Layer: Earth’s Personal Force Field #Shorts,"The ozone layer is very important as it protects life on Earth from absorbing harmful ultraviolet radiation that comes from the Sun. Good news though - it is recovering!! 

Learn more at https://climatescience.org

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Open source videos used
Video by Alena Darmel from Pexels
Creative Commons videos from YouTube

#climatechange #climateemergency #climateaction #solutions",,2022-01-25 16:53:11+00:00,11310,575,,14,PT56S,hd,false,Tuesday,0 days 00:00:56,0,50.83996463306808,1.237842617152962,53
11,TCVg8PkGeKI,ClimateScience - Solve Climate Change,What is Climate Justice? #Shorts,"Climate justice not only works to address inequalities, but it also believes that by working together we can create a better future! 

Learn more at https://climatescience.org/advanced-food-waste

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music:
♪ Imagine (Prod. by Lukrembo) 
Link: https://youtu.be/O7yALYb04Ts

#climatechange #climateemergency #climateaction #solutions",,2022-01-21 11:57:17+00:00,1113,70,,4,PT57S,hd,false,Friday,0 days 00:00:57,0,62.893081761006286,3.5938903863432166,32
12,nwsQ858oHiU,ClimateScience - Solve Climate Change,Selective Breeding: The Future of Crops? #Shorts,"Do you think selective breeding is the future of crops? 🤔
Let us know in the comments! 

Learn more at https://climatescience.org/advanced-food-selective-breeding

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
♪ Marshmellow (Prod. by Lukrembo) 
Link: https://youtu.be/y7KYdqVND4o

Open source videos used
Video by Kindel Media from Pexels
Video by Pixabay from Pexels
Video by Andi Farruku from Pexels

#climatechange #climateemergency #climateaction #solutions",,2022-01-18 09:21:31+00:00,1065,47,,1,PT1M,hd,false,Tuesday,0 days 00:01:00,0,44.13145539906103,0.9389671361502347,48
13,vEgRtuet3cA,ClimateScience - Solve Climate Change,Keeping Healthy in a Changing Climate #Shorts,"Do you think it’s possible to keep ourselves healthy in a changing climate?  
Learn more at https://climatescience.org/advanced-consequences-economy

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music:
♪ Onion (Prod. by Lukrembo) 
Link: https://youtu.be/KGQNrzqrGqw

#climatechange #climateemergency #climateaction #solutions",,2022-01-14 09:19:45+00:00,185,28,,0,PT1M,hd,false,Friday,0 days 00:01:00,0,151.35135135135135,0.0,45
14,d90Qujj5eUA,ClimateScience - Solve Climate Change,What’s the Difference Between Food Loss & Food Waste #Shorts,"Did you know the difference between food waste and food loss? Let us know in the comments! 
Learn more at https://climatescience.org/advanced-food-waste

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music:
♪ Imagine (Prod. by Lukrembo) 
Link: https://youtu.be/O7yALYb04Ts

#climatechange #climateemergency #climateaction #solutions",,2022-01-07 00:00:11+00:00,481,36,,0,PT57S,hd,false,Friday,0 days 00:00:57,0,74.84407484407485,0.0,60
15,k4HujPqpH2o,ClimateScience - Solve Climate Change,What Is the True Cost of Climate Change? #Shorts,"We are shocked by these numbers! How about you?
Learn more at https://climatescience.org/advanced-consequences-economy

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music:
♪ Onion (Prod. by Lukrembo) 
Link: https://youtu.be/KGQNrzqrGqw

#climatechange #climateemergency #climateaction #solutions",,2022-01-05 00:00:24+00:00,393,26,,0,PT58S,hd,false,Wednesday,0 days 00:00:58,0,66.15776081424936,0.0,48
16,iwe6WL-IvtQ,ClimateScience - Solve Climate Change,From Droughts to Monsoons: The Water Cycle #Shorts,"How much do you know about the water cycle? Let us know in the comments! 
Learn more at https://climatescience.org/advanced-climate-water-cycle

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
♪ Marshmellow (Prod. by Lukrembo) 
Link: https://youtu.be/y7KYdqVND4o

Open source videos used
Video by Tima Miroshnichenko from Pexels
Video by João Pavese from Pexels
Video by Pavel Danilyuk

#climatechange #climateemergency #climateaction #solutions",,2022-01-04 11:25:49+00:00,250,27,,0,PT59S,hd,false,Tuesday,0 days 00:00:59,0,108.0,0.0,50
17,eSAar0cCaTA,ClimateScience - Solve Climate Change,ClimateScience Olympiad 2022 Trailer,"Winners get $15,000 and a chance to speak at the UN Climate Summit. The ClimateScience Olympiad is a fun, online student competition around systemic solutions to climate change. More information on https://climatescience.org/olympiad",,2021-12-28 22:37:51+00:00,14148,197,,12,PT2M32S,hd,false,Tuesday,0 days 00:02:32,0,13.924229573084535,0.8481764206955047,36
18,Gi0r9bbPRw0,ClimateScience - Solve Climate Change,Does Personal Action Really Matter? #Shorts,"Personal action is indeed necessary, but it’s not enough to help reduce climate change. 

Learn more at https://climatescience.org/advanced-personal-action

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
♪ Marshmellow (Prod. by Lukrembo) 
Link : https://youtu.be/y7KYdqVND4o

Open source videos used
Video by SHVETS production from Pexels
Video by CityXcape from Pexels

#climatechange #climateemergency #climateaction #solutions",,2021-12-24 00:00:12+00:00,213,24,,0,PT36S,hd,false,Friday,0 days 00:00:36,0,112.67605633802818,0.0,43
19,Y8Q7Ll3phLI,ClimateScience - Solve Climate Change,Extraordinary Extinctions #Shorts,"It's hard to hear but, unfortunately, humans are actually responsible for an increase in extinction rates. 😞

You can learn more about this topic at https://climatescience.org/advanced-extinction

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
♪ Castle (Prod. by Lukrembo) 
Link : https://youtu.be/t5w7rgu9_00

#climatechange #climateemergency #climateaction #solutions",,2021-12-22 00:00:10+00:00,151,19,,1,PT46S,hd,false,Wednesday,0 days 00:00:46,0,125.82781456953643,6.622516556291391,33
20,KnAkJTwHHT8,ClimateScience - Solve Climate Change,Up Next on the Catwalk: Climate Models #Shorts,"Do you know what climate models are and how they help us make future predictions? You can learn more at https://climatescience.org/advanced-climate-climate-models

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music:
♪ Onion (Prod. by Lukrembo) 
Link : https://youtu.be/KGQNrzqrGqw

#climatechange #climateemergency #climateaction #solutions",,2021-12-20 17:55:08+00:00,175,23,,2,PT35S,hd,false,Monday,0 days 00:00:35,0,131.42857142857142,11.428571428571429,46
21,jSN-YTFhJoA,ClimateScience - Solve Climate Change,Climate Education for All #Shorts,"Access to climate education can do wonders for our planet and our society! 
Learn more at https://climatescience.org/courses

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 

Filming, animation and voice over by Bruna Hernandes 

#climatechange #climateemergency #climateaction #solutions",,2021-12-17 00:00:11+00:00,171,19,,1,PT38S,hd,false,Friday,0 days 00:00:38,0,111.1111111111111,5.847953216374268,33
22,8uwnJPuRpfk,ClimateScience - Solve Climate Change,Can Tree Planting Solve Climate Change? #Shorts,"Can we solve climate change by planting trees? It’s not as easy as you might think!

Learn more at https://climatescience.org/advanced-reforestation-afforestation-tree-planting

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Open sources videos used: 
Video by Michael Burrows from Pexels 
Video by Ruvim Miksanskiy from Pexels

#climatechange #climateemergency #climateaction #solutions",,2021-12-15 00:00:02+00:00,730,41,,1,PT38S,hd,false,Wednesday,0 days 00:00:38,0,56.16438356164383,1.36986301369863,47
23,7BFOr9T4zUY,ClimateScience - Solve Climate Change,Why Should We Care About Climate Change? #Shorts,"Do you know why we should all care about climate change? 
Learn more at https://climatescience.org/advanced-consequences-climate-people

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

#climatechange #climateemergency #climateaction #solutions",,2021-12-14 16:40:52+00:00,1236,77,,4,PT31S,hd,false,Tuesday,0 days 00:00:31,0,62.297734627831716,3.236245954692557,48
24,HYm66KL16_M,ClimateScience - Solve Climate Change,OCEANS: THE TRUE CLIMATE SUPERHERO? #Shorts,"We do have a climate superhero: our oceans! 

Learn more at https://climatescience.org/advanced-consequences-ocean-life

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Open sources videos used: 
Video by Mikhail Nilov from Pexels 
Video by Joseph Redfield from Pexels

#climatechange #climateemergency #climateaction #solutions",,2021-12-13 14:05:02+00:00,100,15,,1,PT31S,hd,false,Monday,0 days 00:00:31,0,150.0,10.0,43
25,UnaHVI7kHpM,ClimateScience - Solve Climate Change,The Future of Public Electric Transport #Shorts,"Did you know that batteries are the future for public transport? 
Learn more at https://climatescience.org/advanced-energy-batteries

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
1 Min Chill Lofi Beat ""Dreams"" Prod. By The UM 
https://www.youtube.com/watch?v=aynRNQAxleA

#climatechange #climateemergency #climateaction #solutions",,2021-12-08 20:44:22+00:00,168,20,,2,PT31S,hd,false,Wednesday,0 days 00:00:31,0,119.04761904761904,11.904761904761903,47
26,d3GJaW3i2OU,ClimateScience - Solve Climate Change,What's The Number One Climate Problem? #Shorts,"Do you know what’s the number one climate problem? 

Learn more at https://climatescience.org/advanced-energy-biggest-problem

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
Daily (Prod. by Lukrembo) 
https://www.youtube.com/watch?v=Tchb1Q4V-nc",,2021-12-06 16:07:21+00:00,216,22,,2,PT31S,hd,false,Monday,0 days 00:00:31,0,101.85185185185185,9.25925925925926,46
27,_y0WiHWRj6I,ClimateScience - Solve Climate Change,Introducing ClimateScience Clubs,"Are you looking to become a climate leader and make a real difference in this world? If so, you’ve come to the right place! Because we’re Introducing ClimateScience Clubs.

Check out our website here: https://climatescience.org/clubs

Register your club here: https://docs.google.com/forms/d/e/1FAIpQLSccTAAVFUXG_dzoi6Q3qXxY6VT_cHLbl1zpb5BwdjiIrzYnPw/viewform 


DISCUSSIONS & SOCIAL MEDIA
▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀
Website:           https://climatescience.org/   
Instagram:       https://www.instagram.com/climate_science/ 
Twitter:             https://twitter.com/Climate_Sci  
Facebook:        https://www.facebook.com/ClimateScienceEducation/  
Olympiad:         https://climatescience.org/olympiad/  


OUR ANIMATION 
▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀
Original Animation produced by Bruna Hernanes using After Effects

OUR SCRIPT
▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀
Is created by ClimateScience’s science writing team (https://climatescience.org/about/)

OUR VOICE
▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀
The ClimateScience voice is JP Arellano using a Yeti BLUE microphone

OUR MUSIC ♬♪
▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀
Song: Jarico - Island Music
supported by #BackgroundMusicWithoutLimitations",,2021-11-20 22:09:30+00:00,1384,62,,4,PT1M35S,hd,true,Saturday,0 days 00:01:35,0,44.797687861271676,2.890173410404624,32
28,fXRSaFgsZrE,ClimateScience - Solve Climate Change,Your Fashion Style May Need a Climate Upgrade #Shorts,"Do you need to rethink your style choices?
Complete our Industrial Innovation course to find out! https://climatescience.org/advanced-steel-climate

Credits
Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano
Filming, animation and voice over by Bruna Hernandes 

Music
1 Min Chill Lofi Beat ""Dreams"" Prod. By The UM https://www.youtube.com/watch?v=aynRNQAxleA

Open sources videos used: 
Video by Tom Fisk from Pexels
Video by MART PRODUCTION from Pexels
Video by Ron Lach from Pexels
Video by Irfan Shaikh from Pexels
Video by Anete Lusina from Pexels",,2021-11-16 18:05:49+00:00,169,17,,1,PT1M,hd,false,Tuesday,0 days 00:01:00,0,100.59171597633136,5.9171597633136095,53
29,0PzKsmk6O0E,ClimateScience - Solve Climate Change,The Fertilizer Fiasco #Shorts,"Did you know that farmers often rely on artificial fertilizers? 
Complete our free Food & Farming course: https://climatescience.org/advanced-food-climate

CREDITS
Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano
Filming, animation and voice over by Bruna Hernandes 

Music
Daily (Prod. by Lukrembo) https://www.youtube.com/watch?v=Tchb1Q4V-nc",,2021-11-10 09:30:03+00:00,203,19,,0,PT1M,hd,false,Wednesday,0 days 00:01:00,0,93.59605911330048,0.0,29
30,xJh3Ce5dF4k,ClimateScience - Solve Climate Change,Are We Tipping Over the Point of No Return? #Shorts,"You've heard of climate change, but have you heard of climate tipping points? 
Learn more at https://climatescience.org/advanced-climate-climate-models/

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano
Filming, animation and voice over by Bruna Hernandes 

#climatechange #climateemergency #cop26 #climateaction",,2021-11-01 13:35:17+00:00,1472,91,,5,PT57S,hd,false,Monday,0 days 00:00:57,0,61.82065217391304,3.3967391304347827,51
31,-rnM1g5zE_U,ClimateScience - Solve Climate Change,Grow Food in your Backyard to Save the Planet! #shorts,"Would you participate in micro gardening to help save the planet?

Learn more at http://www.climatescience.org/advanced-food-climate

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano

Filming, animation and voice over by Bruna Hernandes 

Open sources videos used: 
Video by Tom Fisk from Pexels
Video by Anastasia Shuraeva from Pexels

#climatechange #solutions #climatecrisis #agriculture #climateemergency #climatestrike #farming",,2021-10-18 09:38:07+00:00,220,24,,2,PT1M,hd,false,Monday,0 days 00:01:00,0,109.09090909090908,9.09090909090909,54
32,o49bi2_jaJI,ClimateScience - Solve Climate Change,What Could a Fair and Just Society Look Like? #shorts,"Have you heard about the Sustainable Development Goals? Learn more at https://climatescience.org/advanced-sustainable-development-goals/

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano

Filming, animation and voice over by Bruna Hernandes 

#climatechange #solutions",,2021-10-15 09:38:58+00:00,200,22,,0,PT49S,hd,false,Friday,0 days 00:00:49,0,110.0,0.0,53
33,OJDmBs9a9YY,ClimateScience - Solve Climate Change,What’s the difference? Climate Mitigation and Adaptation #shorts,"Did you know the difference between climate mitigation and adaptation? Learn more at https://climatescience.org/advanced-what-is-adaptation/

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano

Filming, animation and voice over by Bruna Hernandes",,2021-10-12 13:25:45+00:00,1564,98,,3,PT1M,hd,false,Tuesday,0 days 00:01:00,0,62.65984654731457,1.9181585677749362,64
34,Tjou-g8yYS8,ClimateScience - Solve Climate Change,Flooding and Climate Change #shorts,"Did you know flooding affects our water supply? Visit our courses to learn more! https://climatescience.org/courses

#climatechange #shorts #climatecrisis

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano

Filming, animation and voice over by Bruna Hernandes

Open sources videos used: 
Video by Simon Isoa from Pexels
Video by Tom Fisk from Pexels
Video by Ankur Khandelwal from Pexels
Video by Abraham Braun from Pexels
Video by Anastasia Shuraeva from Pexels
Video by Kelly Lacy from Pexels",,2021-10-03 08:12:07+00:00,333,31,,1,PT1M,hd,false,Sunday,0 days 00:01:00,0,93.09309309309309,3.003003003003003,35
35,H1R4MJ-sLLs,ClimateScience - Solve Climate Change,How Solar Radiation Heats up Our Planet #shorts,"Did you know the role that solar radiation plays on our climate? Learn more about it here: https://climatescience.org/advanced-greenhouse-effect/

#climatechange #climatecrisis

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano

Filming, animation and voice over by Bruna Hernandes",,2021-10-01 14:23:34+00:00,603,51,,3,PT55S,hd,false,Friday,0 days 00:00:55,0,84.5771144278607,4.975124378109452,47
36,Yt1xTGoQYHo,ClimateScience - Solve Climate Change,The Energy Problem #shorts,"Learn more about energy and climate change at https://climatescience.org/advanced-energy-biggest-problem/ 

#climatechange #climatecrisis

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano
Filming, animation and voice over by Bruna Hernandes",,2021-09-29 18:15:28+00:00,1466,118,,8,PT59S,hd,false,Wednesday,0 days 00:00:59,0,80.49113233287858,5.457025920873124,26
